,sentimen,before,after
974,negatif,"pertumbuhan ekonomi di masa pak @jokowi masih di angka 5% masih belum bisa menyaingi pak sby, dari pihak prabowo ternyata benar , kita masih banyak impor daripada ekspor :/ #bimbangmemilih https://ekonomi.kompas.com/jeo/jejak-pertumbuhan-ekonomi-indonesia-dari-masa-ke-masaÂ â€¦","pertumbuhan ekonomi di masa pak @jokowi masih di angka 5% masih belum bisa menyaingi pak sby, dari pihak prabowo ternyata benar , kita masih banyak impor daripada ekspor :/ bimbangmemilih https://ekonomi.kompas.com/jeo/jejak-pertumbuhan-ekonomi-indonesia-dari-masa-ke-masaÂ â€¦"
976,netral,"Terkait Penyataan Prabowo, AHY Minta Tetap Hargai Pemimpin   Sebelumnya  https://otonominews.co.id/read/7611/Terkait-Penyataan-Prabowo-AHY-Minta-Tetap-Hargai-Pemimpin-SebelumnyaÂ â€¦  https://twitter.com/share?text=Terkait%20Penyataan%20Prabowo,%20AHY%20Minta%20Tetap%20Hargai%20Pemimpin%20%20%20Sebelumnya%20 https://otonominews.co.id/read/7611/Terkait-Penyataan-Prabowo-AHY-Minta-Tetap-Hargai-Pemimpin-Sebelumnya%20&hashtags=CalonPresidenNomorUrut02,PrabowoSubianto,AHY,AgusHarimurtiYudhoyono,PernyataanSikap,DebatKelima,DeindustrialidsasiÂ â€¦ #CalonPresidenNomorUrut02 #PrabowoSubianto #AHY #AgusHarimurtiYudhoyono #PernyataanSikap #DebatKelima #Deindustrialidsasi","Terkait Penyataan Prabowo, AHY Minta Tetap Hargai Pemimpin Sebelumnya https://otonominews.co.id/read/7611/Terkait-Penyataan-Prabowo-AHY-Minta-Tetap-Hargai-Pemimpin-SebelumnyaÂ â€¦ https://twitter.com/share?text=Terkait%20Penyataan%20Prabowo,%20AHY%20Minta%20Tetap%20Hargai%20Pemimpin%20%20%20Sebelumnya%20 https://otonominews.co.id/read/7611/Terkait-Penyataan-Prabowo-AHY-Minta-Tetap-Hargai-Pemimpin-Sebelumnya%20&hashtags=CalonPresidenNomorUrut02,PrabowoSubianto,AHY,AgusHarimurtiYudhoyono,PernyataanSikap,DebatKelima,DeindustrialidsasiÂ â€¦ Calon Presiden Nomor Urut02 Prabowo Subianto AHY Agus Harimurti Yudhoyono Pernyataan Sikap Debat Kelima Deindustrialidsasi"
977,netral,@KHMarufAmin_ menyampaikan bahwa ia bersama pak @jokowi akan terus mengembangkan ekonomi di desa-desa dengan menciptakan program Dewi-dewi (Desa Wisata) & Dedi-dedi (Desa Digital).  #JokowiMenangTotalDebat,@KHMarufAmin_ menyampaikan bahwa ia bersama pak @jokowi akan terus mengembangkan ekonomi di desa-desa dengan menciptakan program Dewi-dewi (Desa Wisata) & Dedi-dedi (Desa Digital). Jokowi Menang Total Debat
980,negatif,"Dengan Adanya KARTU SEMBAKO MURAH. Secara tidak langsung Rezim @jokowi membenarkan bahwa harga-harga bahan pokok saat ini mahal. Berarti FIX @jokowi GAGAL. MASIH MAU 2 PERIODE,.?  . #TusukPrabowoSandi pic.twitter.com/Ltpwfoe7Gy","Dengan Adanya KARTU SEMBAKO MURAH. Secara tidak langsung Rezim @jokowi membenarkan bahwa harga-harga bahan pokok saat ini mahal. Berarti FIX @jokowi GAGAL. MASIH MAU 2 PERIODE,.? . Tusuk Prabowo Sandi pic.twitter.com/Ltpwfoe7Gy"
983,positif,"Saya kira apa yang disampaikan pak @jokowi bahwa merubah dan mengembangkan bukan hal yang mudah, harus ada tahapan-tahapan yang besar untuk mengubah ekonomi negri ini menjadi yang lebih baik lagi.  #JokowiMenangTotalDebat","Saya kira apa yang disampaikan pak @jokowi bahwa merubah dan mengembangkan bukan hal yang mudah, harus ada tahapan-tahapan yang besar untuk mengubah ekonomi negri ini menjadi yang lebih baik lagi. Jokowi Menang Total Debat"
986,positif,Anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka @jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi. #JokowiMenangTotalDebat,Anak muda sekarang banyak yang sudah berkecimpung dalam dunia digital maka @jokowi terus akan memperbaiki sistem ekonomi digital agar lebih baik lagi. Jokowi Menang Total Debat
989,negatif,"Balada kisah antara mobile legend dan kemakmuran rakyat.  Prabowo : digital2 itu bagus, tapi rakyat kita butuh swasembada pangan. Pangan dalam harga terjangkau.  Mengembangkan MOBILE LEGEND ðŸ¤£ðŸ¤£ gokill..  #MobileLegends #YourTurnBro #UASdifitnahKejiDanBrutal #TusukPrabowoSandi pic.twitter.com/qWxEnHH4FH","Balada kisah antara mobile legend dan kemakmuran rakyat. Prabowo : digital2 itu bagus, tapi rakyat kita butuh swasembada pangan. Pangan dalam harga terjangkau. Mengembangkan MOBILE LEGEND ðŸ¤£ðŸ¤£ gokill.. Mobile Legends Your Turn Bro UASdifitnah Keji Dan Brutal Tusuk Prabowo Sandi pic.twitter.com/qWxEnHH4FH"
990,positif,Bpk. Presiden. Sangat menghargai perbedaan2. Saya salut ðŸ˜šðŸ˜š #karena_pebedaan_itu_indahðŸ˜˜ðŸ˜šðŸ˜šðŸ˜š,Bpk. Presiden. Sangat menghargai perbedaan2. Saya salut ðŸ˜šðŸ˜š karena_pebedaan_itu_indahðŸ˜˜ðŸ˜šðŸ˜šðŸ˜š
991,netral,"@Jokowi Paslon @jokowi - dan @prabowo - @sandiuno beradu gagasan untuk menjamin partisipasi peremuan dalam kegiatan ekonomi. Masing-masing mengangkat ide soal Dewi-Dedi dan 7 Langkah Pas, apa itu? #DebatKelimaPilpres2019 #DebatPilpres2019 #Pilpres2019","@Jokowi Paslon @jokowi - dan @prabowo - @sandiuno beradu gagasan untuk menjamin partisipasi peremuan dalam kegiatan ekonomi. Masing-masing mengangkat ide soal Dewi-Dedi dan 7 Langkah Pas, apa itu? Debat Kelima Pilpres2019 Debat Pilpres2019 Pilpres2019"
1011,positif,Perbedaan nya di masa depan adalah kebijakan SBY tinggallah hanya sebuah catatan histori di masa lalu. sedangkan Jokowi memberikan legacy ekonomi dan pembangunan untuk generasi2 selanjutnya #Jokowi,Perbedaan nya di masa depan adalah kebijakan SBY tinggallah hanya sebuah catatan histori di masa lalu. sedangkan Jokowi memberikan legacy ekonomi dan pembangunan untuk generasi2 selanjutnya Jokowi
1018,positif,Presiden Jokowi kebijakannya dalam anggaran 'kue' pembangunan ekonomi lebih merata. beliau mengurangi subsidi untuk kepentingan ekonomi lain yg lebih fundamental yaitu infrastruktur #OpportunityCost,Presiden Jokowi kebijakannya dalam anggaran 'kue' pembangunan ekonomi lebih merata. beliau mengurangi subsidi untuk kepentingan ekonomi lain yg lebih fundamental yaitu infrastruktur Opportunity Cost
1022,positif,#JokowiMenangTotalDebat Terlihat jelas dalam debat terakhir Jokowi sangat menguasai jalannya debat dimana beliau tegaskan kepada lawanya tentang ekonomi makro dan mikro.,Jokowi Menang Total Debat Terlihat jelas dalam debat terakhir Jokowi sangat menguasai jalannya debat dimana beliau tegaskan kepada lawanya tentang ekonomi makro dan mikro.
1025,positif,#JokowiMenangTotalDebat Jokowi juga ingin memasukan Digital ekonomi melalui anak anak muda kita yang sudah mengembangkan teknologi dan digabungkan dengan hasil petani pertanian maupun perikanan untuk lebih luas menjual kepada konsumen.,Jokowi Menang Total Debat Jokowi juga ingin memasukan Digital ekonomi melalui anak anak muda kita yang sudah mengembangkan teknologi dan digabungkan dengan hasil petani pertanian maupun perikanan untuk lebih luas menjual kepada konsumen.
1026,positif,"Terima kasih pak jokowi , pimpin kami satu periode lagi untuk INDONESIA BARTAMBAH MAJU ðŸ‘ #17AprilCoblosJokowiAmin  AKU CINTA INDONESIA. NKRI & PANCASILA harga mati. pic.twitter.com/QPA0vzhEeN","Terima kasih pak jokowi , pimpin kami satu periode lagi untuk INDONESIA BARTAMBAH MAJU ðŸ‘ 17April Coblos Jokowi Amin AKU CINTA INDONESIA. NKRI & PANCASILA harga mati. pic.twitter.com/QPA0vzhEeN"
1038,positif,"Jika mau harga bahan pokok terjangkau, tenaga medis & pasien di perbaiki, kesejahteraan guru honorer & mudah lapangan kerja, maka tusuk @prabowo @sandiuno It's time we have a president who is proud to stand up for people.  #02MenangDebat #TheGreatCampaignOfPrabowo","Jika mau harga bahan pokok terjangkau, tenaga medis & pasien di perbaiki, kesejahteraan guru honorer & mudah lapangan kerja, maka tusuk @prabowo @sandiuno It's time we have a president who is proud to stand up for people. 02Menang Debat The Great Campaign Of Prabowo"
1039,positif,@kompascom Yaelaah. Pak Jokowi kalo mo nurunin tuh harga2 bs aja x. Semuanya kan butuh perhitungan yg cermat dan matang! GK asal2an. #01IndonesiaMaju #2019TetapJokowi,@kompascom Yaelaah. Pak Jokowi kalo mo nurunin tuh harga2 bs aja x. Semuanya kan butuh perhitungan yg cermat dan matang! GK asal2an. 01Indonesia Maju 2019Tetap Jokowi
1041,netral,"Pada debat tadi malam, capres nomor urut 02 @prabowo sempat menuturkan jika perekonomian Indonesia salah arah, yang ditandai dengan mengalirnya kekayaan ke luar negeri. Temukan kesesuaian pernyataannya berikut ini!  https://bit.ly/2ZcoMADÂ  #CNNIndonesia pic.twitter.com/Tw7YbXHCOh","Pada debat tadi malam, capres nomor urut 02 @prabowo sempat menuturkan jika perekonomian Indonesia salah arah, yang ditandai dengan mengalirnya kekayaan ke luar negeri. Temukan kesesuaian pernyataannya berikut ini! https://bit.ly/2ZcoMADÂ CNNIndonesia pic.twitter.com/Tw7YbXHCOh"
1042,negatif,Namanya aja wowo  menuding SBY dibalik semua kesalahan ekonomi Indonesia  https://bit.ly/2Kx8krrÂ  @jokowi @95_teguh #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu,Namanya aja wowo menuding SBY dibalik semua kesalahan ekonomi Indonesia https://bit.ly/2Kx8krrÂ @jokowi @95_teguh Prabowo Salahkan SBY Jangan di dengerlah si wowo itu
1045,negatif,"Adegan iconik di debat ke 5 Prabowo : Ekonomi kita terpuruk karena ada 1% elite menguasai dan menikmati kekayaan bangsa ini Kyai MA : Apa Bpk termasuk 1% itu? Prabowo : Ya saya yg 1% itu, Oalah..selama ini prabowo lagi ngomongin dirinya sendiri toh, hehehe  #PrabowoSalahkanSBY","Adegan iconik di debat ke 5 Prabowo : Ekonomi kita terpuruk karena ada 1% elite menguasai dan menikmati kekayaan bangsa ini Kyai MA : Apa Bpk termasuk 1% itu? Prabowo : Ya saya yg 1% itu, Oalah..selama ini prabowo lagi ngomongin dirinya sendiri toh, hehehe Prabowo Salahkan SBY"
1046,positif,"Saya percaya, krn @prabowo & @sandiuno tlh trbukti, mrk bisa hidup mapan & terhormat. Sangkin mapan & trhormatnya khidupn mrka, gaji pun tak brniat mrka ambil. Mrk jd capres bkn utk mncari kekayaan tp ingin msyarakt indonesia mapan & berhasil sprti mrk. #UASdifitnahKejiDanBrutal https://twitter.com/satriohendri/status/1117081027602554880Â â€¦","Saya percaya, krn @prabowo & @sandiuno tlh trbukti, mrk bisa hidup mapan & terhormat. Sangkin mapan & trhormatnya khidupn mrka, gaji pun tak brniat mrka ambil. Mrk jd capres bkn utk mncari kekayaan tp ingin msyarakt indonesia mapan & berhasil sprti mrk. UASdifitnah Keji Dan Brutal https://twitter.com/satriohendri/status/1117081027602554880Â â€¦"
1048,negatif,"Jangan main fitnah gtu dong,gausah diperlihatkan tangan kaki kalian semua para dungu bergetar takut mendengar pilihan guru kami untuk memilih pak prabowo. Kalian kan sudah didukung oleh ratusan org yg berpengaruh di indonesia,mengapa takut dengan seorang guru ngaji?? :) #saveUAS","Jangan main fitnah gtu dong,gausah diperlihatkan tangan kaki kalian semua para dungu bergetar takut mendengar pilihan guru kami untuk memilih pak prabowo. Kalian kan sudah didukung oleh ratusan org yg berpengaruh di indonesia,mengapa takut dengan seorang guru ngaji?? :) save UAS"
1056,negatif,"kalo kata pak WOWO : Jokowi gak salah kok, yang salah tu SBY soalnya bikin arah ekonomi jd ikut salah #PrabowoSalahkanSBY","kalo kata pak WOWO : Jokowi gak salah kok, yang salah tu SBY soalnya bikin arah ekonomi jd ikut salah Prabowo Salahkan SBY"
1057,negatif,Jokowi pinter ngeles... Sudah gagal bangun perekonomian pake alasan ekonomi makro.... Bro sekarang masalah nya pertumbuhan perekonomian terendah stuck di 5%... Kok pake alasan ekonomi makro... Emang jaman presiden sebelum nya bukan ekonomi makro.. #jokowipinterngeles,Jokowi pinter ngeles... Sudah gagal bangun perekonomian pake alasan ekonomi makro.... Bro sekarang masalah nya pertumbuhan perekonomian terendah stuck di 5%... Kok pake alasan ekonomi makro... Emang jaman presiden sebelum nya bukan ekonomi makro.. jokowipinterngeles
1062,negatif,Namanya aja wowo  salah bowo malah mengatakan pembangunan ekonomi Indonesia salah arah tak terlepas dari andil presiden-presiden sebelum Jokowi  https://bit.ly/2GkwvoWÂ  @jokowi @tasyashee #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu,Namanya aja wowo salah bowo malah mengatakan pembangunan ekonomi Indonesia salah arah tak terlepas dari andil presiden-presiden sebelum Jokowi https://bit.ly/2GkwvoWÂ @jokowi @tasyashee Prabowo Salahkan SBY Jangan di dengerlah si wowo itu
1067,negatif,"Namanya aja wowo  salahkan Secara tidak langsung, Bowo menuding pemerintahan era SBY selama 10 tahun turut berdosa atas kondisi perekonomian  https://bit.ly/2GkwvoWÂ  @jokowi @fearlessdiva83 #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu","Namanya aja wowo salahkan Secara tidak langsung, Bowo menuding pemerintahan era SBY selama 10 tahun turut berdosa atas kondisi perekonomian https://bit.ly/2GkwvoWÂ @jokowi @fearlessdiva83 Prabowo Salahkan SBY Jangan di dengerlah si wowo itu"
1071,positif,"Jujur aja ya Pak Prabowo,. Bapak baru koar2 skrg Krn nyapres gak ngambil Gaji 1 rupiah pun. Gw dah kerja 10 Tahun lebih loh, dan gak pernah gw ambil gaji 1 Rupiah. Pak Jokowi tetap terbaik. #JokowiMenangTotalDebat #01ndonesiaMaju","Jujur aja ya Pak Prabowo,. Bapak baru koar2 skrg Krn nyapres gak ngambil Gaji 1 rupiah pun. Gw dah kerja 10 Tahun lebih loh, dan gak pernah gw ambil gaji 1 Rupiah. Pak Jokowi tetap terbaik. Jokowi Menang Total Debat 01ndonesia Maju"
1075,netral,"Menangi Pilpres 2019, Prabowo-Sandi Tak Akan Ambil Gaji #TusukPrabowoSandi http://pantausatu.blogspot.com/2019/04/menangi-pilpres-2019-prabowo-sandi-tak.htmlÂ â€¦","Menangi Pilpres 2019, Prabowo-Sandi Tak Akan Ambil Gaji Tusuk Prabowo Sandi http://pantausatu.blogspot.com/2019/04/menangi-pilpres-2019-prabowo-sandi-tak.htmlÂ â€¦"
1077,netral,"Berkat Jokowi, rakyat di pedalaman akhirnya punya akses ekonomi yg mudah #JokowiMenangTotalDebat","Berkat Jokowi, rakyat di pedalaman akhirnya punya akses ekonomi yg mudah Jokowi Menang Total Debat"
1079,negatif,"Kartu jokowi, bukti jokowi gagal. Gagal menstabilkan harga cenderung mahal sehingga ada kartu sembako murah, gagal menyediakan lapangan kerja sehingga sehingga keluar kartu prakerja, gagal menyediakan pendidikan terjangkau sehingga muncul kartu pintar. 17april #TusukPrabowoSandi https://twitter.com/republikaonline/status/1117160536095903744Â â€¦","Kartu jokowi, bukti jokowi gagal. Gagal menstabilkan harga cenderung mahal sehingga ada kartu sembako murah, gagal menyediakan lapangan kerja sehingga sehingga keluar kartu prakerja, gagal menyediakan pendidikan terjangkau sehingga muncul kartu pintar. 17april Tusuk Prabowo Sandi https://twitter.com/republikaonline/status/1117160536095903744Â â€¦"
1080,netral,Prabowo-Sandi Ingin Pangkas Pajak Pekerja agar Tax Ratio Naik  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://www.cnnindonesia.com/ekonomi/20190413211609-532-386103/prabowo-sandi-ingin-pangkas-pajak-pekerja-agar-tax-ratio-naikÂ â€¦,Prabowo-Sandi Ingin Pangkas Pajak Pekerja agar Tax Ratio Naik Your Turn Bro â¦@prabowoâ© â¦@sandiunoâ© https://www.cnnindonesia.com/ekonomi/20190413211609-532-386103/prabowo-sandi-ingin-pangkas-pajak-pekerja-agar-tax-ratio-naikÂ â€¦
1081,positif,1 rupiah pun gaji tidak akan diambil dan akan diberikan kepada negara dan rakyat miskin n dhuafa #prabowo_sandi Jangan ragu lagi,1 rupiah pun gaji tidak akan diambil dan akan diberikan kepada negara dan rakyat miskin n dhuafa prabowo_sandi Jangan ragu lagi
1082,positif,@Jokowi Yakin dan optimis Jokowi bisa menjawab persoalan rakyat terkait ekonomi dan kesejahteraan #JokowiMenangTotalDebat #JokowiMenangTotalDebat,@Jokowi Yakin dan optimis Jokowi bisa menjawab persoalan rakyat terkait ekonomi dan kesejahteraan Jokowi Menang Total Debat Jokowi Menang Total Debat
1083,netral,"Prabowo Sebut Kebijakan Ekonomi Salah Presiden Terdahulu, AHY: Kita Harus Objektif #indonesia #merahputih #Sunday #minggu https://merahputih.com/post/read/prabowo-sebut-kebijakan-ekonomi-salah-presiden-terdahulu-ahy-kita-harus-objektifÂ â€¦","Prabowo Sebut Kebijakan Ekonomi Salah Presiden Terdahulu, AHY: Kita Harus Objektif indonesia merahputih Sunday minggu https://merahputih.com/post/read/prabowo-sebut-kebijakan-ekonomi-salah-presiden-terdahulu-ahy-kita-harus-objektifÂ â€¦"
1085,netral,"Jika Terpilih, Prabowo-Sandi Sumbangkan Gaji Buat Fakir Miskin -  http://rmolbanten.comÂ  http://www.rmolbanten.com/read/2019/04/14/7517/Jika-Terpilih,-Prabowo-Sandi-Sumbangkan-Gaji-Buat-Fakir-Miskin-#.XLLCafMzq-8.twitterÂ â€¦","Jika Terpilih, Prabowo-Sandi Sumbangkan Gaji Buat Fakir Miskin - http://rmolbanten.comÂ http://www.rmolbanten.com/read/2019/04/14/7517/Jika-Terpilih,-Prabowo-Sandi-Sumbangkan-Gaji-Buat-Fakir-Miskin-#.XLLCafMzq-8.twitterÂ â€¦"
1089,netral,"Prabowo Mau Naikkan Tax Ratio Jadi 16%, Jokowi: Ekonomi Bisa Shock #pilpres2019 #jokowimaruf #prabowosandi #pajak https://www.inews.id/finance/makro/prabowo-mau-naikkan-tax-ratio-jadi-16-jokowi-ekonomi-bisa-shock/515577/?utm_source=Twitter&utm_medium=Social&utm_campaign=socialmediaÂ â€¦","Prabowo Mau Naikkan Tax Ratio Jadi 16%, Jokowi: Ekonomi Bisa Shock pilpres2019 jokowimaruf prabowosandi pajak https://www.inews.id/finance/makro/prabowo-mau-naikkan-tax-ratio-jadi-16-jokowi-ekonomi-bisa-shock/515577/?utm_source=Twitter&utm_medium=Social&utm_campaign=socialmediaÂ â€¦"
1091,netral,"Prabowo-Sandi Komitmen Tak Ambil Gaji Jika Terpilih, Sandiaga: Allah SWT Sudah Baik  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://www.wartaekonomi.co.id/read223640/prabowo-sandi-komitmen-tak-ambil-gaji-jika-terpilih-sandiaga-allah-swt-sudah-baik.htmlÂ â€¦","Prabowo-Sandi Komitmen Tak Ambil Gaji Jika Terpilih, Sandiaga: Allah SWT Sudah Baik Your Turn Bro â¦@prabowoâ© â¦@sandiunoâ© https://www.wartaekonomi.co.id/read223640/prabowo-sandi-komitmen-tak-ambil-gaji-jika-terpilih-sandiaga-allah-swt-sudah-baik.htmlÂ â€¦"
1092,netral,"Prabowo-Sandi Komitmen Tak akan Ambil Gaji Serupiah Pun jika Terpilih, Mau Dikemanakan Gaji Mereka? -  http://Tribunnews.comÂ  Mobile  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© http://www.tribunnews.com/pilpres-2019/2019/04/14/prabowo-sandi-komitmen-tak-akan-ambil-gaji-serupiah-pun-jika-terpilih-mau-dikemanakan-gaji-merekaÂ â€¦","Prabowo-Sandi Komitmen Tak akan Ambil Gaji Serupiah Pun jika Terpilih, Mau Dikemanakan Gaji Mereka? - http://Tribunnews.comÂ Mobile Your Turn Bro â¦@prabowoâ© â¦@sandiunoâ© http://www.tribunnews.com/pilpres-2019/2019/04/14/prabowo-sandi-komitmen-tak-akan-ambil-gaji-serupiah-pun-jika-terpilih-mau-dikemanakan-gaji-merekaÂ â€¦"
1095,netral,"Menang Pilpres 2019, Prabowo-Sandi Janji Tak Ambil Gaji - Bisnis  http://Tempo.coÂ  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://bisnis.tempo.co/read/1195559/menang-pilpres-2019-prabowo-sandi-janji-tak-ambil-gajiÂ â€¦","Menang Pilpres 2019, Prabowo-Sandi Janji Tak Ambil Gaji - Bisnis http://Tempo.coÂ Your Turn Bro â¦@prabowoâ© â¦@sandiunoâ© https://bisnis.tempo.co/read/1195559/menang-pilpres-2019-prabowo-sandi-janji-tak-ambil-gajiÂ â€¦"
1097,netral,"Seperti Trump, Prabowo-Sandi Janji tak Ambil Gaji  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://www.cnbcindonesia.com/news/20190414082213-4-66604/seperti-trump-prabowo-sandi-janji-tak-ambil-gajiÂ â€¦","Seperti Trump, Prabowo-Sandi Janji tak Ambil Gaji Your Turn Bro â¦@prabowoâ© â¦@sandiunoâ© https://www.cnbcindonesia.com/news/20190414082213-4-66604/seperti-trump-prabowo-sandi-janji-tak-ambil-gajiÂ â€¦"
1100,negatif,"@BhimaYudhistira: Tak Cuma Syok Ekonomi, Tax Ratio Kilat ala @prabowo Keliru  #JokowiMenangTotalDebat https://m.cnnindonesia.com/ekonomi/20190414074014-532-386187/tak-cuma-syok-ekonomi-tax-ratio-kilat-ala-prabowo-keliru?utm_source=twitter&utm_medium=oa&ut","@BhimaYudhistira: Tak Cuma Syok Ekonomi, Tax Ratio Kilat ala @prabowo Keliru Jokowi Menang Total Debat https://m.cnnindonesia.com/ekonomi/20190414074014-532-386187/tak-cuma-syok-ekonomi-tax-ratio-kilat-ala-prabowo-keliru?utm_source=twitter&utm_medium=oa&ut"
1104,positif,Prabowo sandi Masalah ekonomi kerakyatan #2019PrabowoSandiMenang #2019PrabowoSubiantoPresidenRI,Prabowo sandi Masalah ekonomi kerakyatan 2019Prabowo Sandi Menang 2019Prabowo Subianto Presiden RI
1105,positif,@Jokowi #JokowiMenangTotalDebat. Pembangunan ekonomi juga dilakukan oleh pemerintah di sektor maritim. Saat ini para nelayan didukung penuh oleh bank mikro dan menjadi tuan rumah di negaranya sendiri. 17 April Coblos Jokowi-KMA #JokowiMenangTotalDebat,@Jokowi Jokowi Menang Total Debat. Pembangunan ekonomi juga dilakukan oleh pemerintah di sektor maritim. Saat ini para nelayan didukung penuh oleh bank mikro dan menjadi tuan rumah di negaranya sendiri. 17 April Coblos Jokowi-KMA Jokowi Menang Total Debat
1107,netral,arah ekonomi indonesia salah presiden sebelum2nya jokowi #PrabowoSalahkanSBY pic.twitter.com/OjfzRFbk4m,arah ekonomi indonesia salah presiden sebelum2nya jokowi Prabowo Salahkan SBY pic.twitter.com/OjfzRFbk4m
1108,positif,"Kesalahan presiden sebelumnya adalah merusak arah ekonomi indonesia, kehebatan adalah jokowi memperbaikinya #PrabowoSalahkanSBY pic.twitter.com/L7eULNwiay","Kesalahan presiden sebelumnya adalah merusak arah ekonomi indonesia, kehebatan adalah jokowi memperbaikinya Prabowo Salahkan SBY pic.twitter.com/L7eULNwiay"
1121,positif,"Pada masa pemerintahan Jokowi, laju kenaikan harga relatif terjaga untuk meningkatkan kesejahteraan rakyat.#IndonesiaOptimis #BersatuIndonesia #IndonesiaMaju #JokowiAmin #JokowiSekaliLagi","Pada masa pemerintahan Jokowi, laju kenaikan harga relatif terjaga untuk meningkatkan kesejahteraan rakyat.#IndonesiaOptimis Bersatu Indonesia Indonesia Maju Jokowi Amin Jokowi Sekali Lagi"
1124,netral,Pak prabowo berkilah bahwa yang dia maksud bukanlah Jokowi. Yang membuat perekonomian Indonesia salah arah justru pemimpin sebelumnya. Siapa? SBY dong jelasnya #PrabowoSalahkanSBY,Pak prabowo berkilah bahwa yang dia maksud bukanlah Jokowi. Yang membuat perekonomian Indonesia salah arah justru pemimpin sebelumnya. Siapa? SBY dong jelasnya Prabowo Salahkan SBY
1125,positif,"FYI: Digital ekonomi yang di paparkan oleh cawapres 02 juga sudah di lakukan di era pemerintahan @jokowi , jadi solusi apa yang baru yg di tawarkan oleh paslon 02? Saya kira sudah hampir di jalani semuanya apa yang 02 paparkan pada debat final mala ini. #PrabowoSalahkanSBY","FYI: Digital ekonomi yang di paparkan oleh cawapres 02 juga sudah di lakukan di era pemerintahan @jokowi , jadi solusi apa yang baru yg di tawarkan oleh paslon 02? Saya kira sudah hampir di jalani semuanya apa yang 02 paparkan pada debat final mala ini. Prabowo Salahkan SBY"
1132,positif,"Prabowo sandi  Keren   Gaminta gaji...  Nanti yg bayar Allah aja yah..  ""Semoga harimu menyenangkan""  #YourTurnBro","Prabowo sandi Keren Gaminta gaji... Nanti yg bayar Allah aja yah.. ""Semoga harimu menyenangkan"" Your Turn Bro"
1140,netral,"Yang sudah pasti itu, pertumbuhan ekonomi Indonesia hanya rata-rata 5% selama dipimpin oleh @jokowi #YourTurnBro @prabowo @sandiuno https://twitter.com/OfficialiNewsTV/status/1117185694990880768Â â€¦","Yang sudah pasti itu, pertumbuhan ekonomi Indonesia hanya rata-rata 5% selama dipimpin oleh @jokowi Your Turn Bro @prabowo @sandiuno https://twitter.com/OfficialiNewsTV/status/1117185694990880768Â â€¦"
1143,positif,Lihat cuplikan debat semalam baru tau kalau pemerataan ekonomi bagi2 susu dan makan ke anak SD s/d SMA di tiap pagi.. salut sama pak @prabowo ðŸ‘ðŸ‘ðŸ˜¢ #17Aprilmikir2,Lihat cuplikan debat semalam baru tau kalau pemerataan ekonomi bagi2 susu dan makan ke anak SD s/d SMA di tiap pagi.. salut sama pak @prabowo ðŸ‘ðŸ‘ðŸ˜¢ 17Aprilmikir2
1145,netral,"Allah swt begitu baik pd Prabowo - Sandi yg memberi keluasan kpd kami.  Kami berkomitmen untuk tdk mengambil gaji serupiah pun kami berikan pd negara, kaum yatim & dhuafa.  #minggu #Indonesia #Bogor #banten #jakarta #bandung #cirebon #jabarjuara #jateng #semarang #jogja #bantul pic.twitter.com/HukBxuDwf9","Allah swt begitu baik pd Prabowo - Sandi yg memberi keluasan kpd kami. Kami berkomitmen untuk tdk mengambil gaji serupiah pun kami berikan pd negara, kaum yatim & dhuafa. minggu Indonesia Bogor banten jakarta bandung cirebon jabarjuara jateng semarang jogja bantul pic.twitter.com/HukBxuDwf9"
1148,netral,Era Pemerintahan Jokowi Terjadi Pemerataan Ekonomi   https://www.gesuri.id/pemilu/era-pemerintahan-jokowi-terjadi-pemerataan-ekonomi-b1WexZjhzÂ â€¦ #pdiperjuangan,Era Pemerintahan Jokowi Terjadi Pemerataan Ekonomi https://www.gesuri.id/pemilu/era-pemerintahan-jokowi-terjadi-pemerataan-ekonomi-b1WexZjhzÂ â€¦ pdiperjuangan
1152,positif,Nyatnaya Pemerinta di Era Jokowi Sangat Mendukung Perkembangan Ekonomi Digital. #17aprilcoblosbajuputih #coblos01JokowiKHMaruf #DaritimurUntukPresidenku #CoblosPutihJokowi #Jokowi2Periode #jokowiAmin pic.twitter.com/iTjrfymb2i,Nyatnaya Pemerinta di Era Jokowi Sangat Mendukung Perkembangan Ekonomi Digital. 17aprilcoblosbajuputih coblos01Jokowi KHMaruf Daritimur Untuk Presidenku Coblos Putih Jokowi Jokowi2Periode jokowi Amin pic.twitter.com/iTjrfymb2i
